,headline,published_date,article_text,summarized_text
10,India’s new copper plant finally starts amid ore shortage,2025-06-18,"A new copper smelter owned by Indian billionaire Gautam Adani started processing mined ores this week after multiple delays due to a lack of feedstock, according to people familiar with the matter.The 500,000-ton-a-year Kutch Copper plant in Gujarat is part of a copper-producing complex that Adani is building to cut India’s reliance on imported metal. The smelter wasscheduled to start in 2024, but faced delays as smelter expansions elsewhere fueled a global shortage of ores.Raw materials are now being fed into the plant, but it could take 18 months for it to fully ramp up, said the people, who asked not to be identified due to the commercially sensitive nature of the matter. A typical ramp-up period is about two to three months.For the smelter to operate at full scale, it would require about 1.6 million tons of concentrated copper ores, some of the people said. Industry consultancy CRU Group has estimated that the gap between the volume of concentrates sought by smelters and those actually supplied by miners will reach 1.2 million tons this year, the biggest deficit in at least a decade.Kutch Copper has operationalized the smelter and is in the process of ramping up production to achieve peak capacity as soon as possible, a spokesperson for Adani Enterprises Ltd said in an emailed statement.Procuring concentrates has been a challenge for smelters globally, with growing competition from new plants fueling a collapse in processing margins.Codelco strikes copper deal with Adani amid tariff threatThe surge in capacity is being driven partly by the commissioning of new integrated plants at mining operations in Indonesia and the Democratic Republic of Congo. That’s reducing the flow of concentrates that would have otherwise been sold to other smelters.But the biggest contributor has been the breakneck growth of standalone smelters that buy most or all of their raw materials on the open market. That includes the new Adani plant, as well as several major operations in China, such as a new 500,000-ton-a-year copper smelter commissioned by Tongling Nonferrous Metals Group Co. earlier this year.(By Julian Luk and Archie Hunter)","A new copper smelter owned by Indian billionaire Gautam Adani started processing mined ores this week. The 500,000-ton-a-year Kutch Copper plant in Gujarat is part of a copper-producing complex that Adani is building to cut India’"
11,"India, China tackle rare earth curbs in meeting of top officials",2025-06-13,"Infographic: Who controls the rare earths shaping the future?Indian officials discussed China’s rare earth restrictions during talks with that country’s vice foreign minister this week, people familiar with the matter said, as automakers continue to warn of a looming shortage that may disrupt output in the South Asian nation.The issue was raised during a meeting on Thursday between Foreign Secretary Vikram Misri and China’s Vice Foreign Minister Sun Weidong in New Delhi, the people said, asking not to be identified because the discussions were private. The two sides agreed to hold further talks about critical mineral supplies and broader economic and trade issues, they said.China’s export curbs on rare earth magnets — used in everything from smartphones to electric vehicles — are causing delays in shipments of auto parts to India,worrying carmakers about major disruptionsto production. There are some signs that Indian automakers may be facing tougher conditions than their counterparts in other countries in securing the supplies from China, with Beijing rejecting some applications for India-bound shipments.Foreign Secretary Vikram Misri with Chinese Vice Foreign Minister Sun Weidong. Credit: Ministry of Foreign Affairs
People’s Republic of ChinaIn a readout of the meeting between Misri and Sun, India’s Ministry of External Affairs didn’t specifically refer to the discussion about rare earths, although it hinted at ongoing talks.“The two sides agreed to hold certain functional dialog including in the economic and trade areas to discuss and resolve specific issues of concern,” the ministry said on Friday, without providing details of any future meetings.China’s Ministry of Foreign Affairs said in a statement that Sun and Misri “held a candid and in-depth exchange of views on bilateral exchanges and cooperation as well as international and regional issues of mutual interest.”Indian carmakers have been lobbying the government to push China to ease restrictions on rare earth magnets. They’re also planning to visit Beijing this month to make their case to officials and suppliers there, people familiar with the matter said. A proposed delegation of about 20 members from auto and component firms is awaiting support from the Chinese embassy to secure appointments in Beijing, they said.The fact that India has now raised the rare earth issue with China in a diplomatic forum signals to automakers that a resolution may be in sight. Recent trade talks between the US and China have also increased optimism that restrictions may be eased.Column: China-US trade deal kicks the rare earths can down the roadThe two-day visit by Sun follows Misri’s trip to Beijing in January, and comes as both countries take steps to rebuild ties following the end of a four-year border stalemate. President Xi Jinping and Prime Minister Narendra Modi pledged in October last year to stabilize relations. Global uncertainty triggered by US President Donald Trump’s upheaval of trade have also added to the urgency for the Asian neighbors to normalize ties.After the deadly border clashes in 2020, India increased legal scrutiny to discourage Chinese investments, banned thousands of mobile phone applications and curbed visas.The two sides agreed during the talks this week to speed up the process to restart direct flights and take “practical” steps to facilitate visas, the MEA said in its statement Friday.Officials “agreed to continue to stabilize and rebuild ties with priority on people-centric engagements,” the MEA said.(By Sudhi Ranjan Sen and Alisha Sachdev)",China’s export curbs on rare earth magnets are causing delays in shipments of auto parts to India. Indian carmakers have been lobbying the government to push China to ease restrictions. Recent trade talks between the US and China have also increased optimism that restrictions may be eased.
12,Coal India to take first unit public with consultancy firm IPO,2025-05-27,"Coal India Ltd. will sell as much as 10% of its holding in mining consultancy unit Central Mine Planning & Design Institute Ltd. (CMPDI) through an initial public offering.The Ranchi-based unit of the world’s biggest coal miner filed draft prospectus for sale of as many as 71.4 million shares through the offering. CMPDI will be the first Coal India unit to go public as part of the state-owned company’s plan to separately list shares of its units on stock exchanges with an aim enhance competition and boost output.Earlier this month Coal India said it has hired banks to manage the IPOs of units Bharat Coking Coal Ltd. and Central Mine Planning & Design Institute, and started “activities” including preparations of prospectuses. Updates on Bharat Coking’s IPO are still awaited.Coal India will retain 90% holding in CMPDI, which provides consultancy and support services for mineral exploration, including mine planning and design. The company is not selling any new shares through the IPO.The parent company and its other units accounted for more than two-third of CMPDI’s revenue in the year ended March, according to the prospectus. The company reported net income of 6.67 billion rupees in 2024-25 on sales of about 21 billion rupees.IDBI Capital Markets and SBI Capital Markets will manage the share sale.(By Harshita Swaminathan)",Coal India Ltd. will sell as much as 10% of its holding in mining consultancy unit Central Mine Planning & Design Institute Ltd. CMPDI will be the first Coal India unit to go public as part of the state-owned company’s plan to separately list shares of
13,Indian steel tycoon’s pathway to Mozambique coal deal reopens,2025-05-26,"India’s largest steelmaker can proceed with the acquisition of a coal deposit in Mozambique after the seller recovered the concession rights from the country’s new government.JSW Steel Ltd.’s $74 million deal to buy Minas de Revuboe — announced a year ago — ran into trouble when the administration of then-President Filipe Jacinto Nyusi revoked the local company’s mining lease. MdR responded by initiating legal and arbitration proceedings to regain the license.The concession was restored to MdR – owned by the estate of Ken Talbot, an Australian mining tycoon who died 14 years ago – last week, according to Mozambique’s database of natural resources permits. President Daniel Chapo’s cabinet had already reversed the cancellation of MdR’s mining contract with the government on April 15.“We are pleased with the outcome and express our gratitude to the government for its leading role in facilitating this,” a spokesperson for the Talbot estate said. “We are now focused on preparing the project for development and progressing the sale to JSW Steel.”A spokesperson for JSW – which is headed by the billionaire Sajjan Jindal – declined to comment.JSW extended its deadline for closing the deal by five months in late January, two weeks after Chapo replaced Nyusi as head of state in the southern African nation.The company is expanding its network of mining assets, both in India and overseas, to produce more of the iron ore and coking coal it requires to manufacture steel. The firm said in a February presentation that it was still working to acquire the pre-development stage project from MdR, which would give it access to as much as 280 million tons of premium coking coal.A spokesperson for Mozambique’s Ministry of Mineral Resources and Energy didn’t answer a call, nor respond to questions about why the concession was returned to MdR.Last August, two months after the license was withdrawn from MdR, Nyusi’s government published a notice in a state-owned newspaper offering a 30-day window for any objections to the concession area being granted to a new company called Stonecoal SA. Four of Stonecoal’s five directors were employed at Jindal Steel & Power Ltd., another Indian steelmaker led by Naveen Jindal, Sajjan’s younger brother.One of Stonecoal’s directors toldBloombergin December that they intended to develop the project in their personal capacities.Naveen also chairs a private business called Vulcan International that owns Mozambique’s largest coal mine at Moatize, which lies adjacent to MdR’s license.Representatives of Stonecoal and JSPL didn’t respond to requests for comment.Both JSW and JSPL are part of the late OP Jindal’s Mumbai-based empire, which was divided among his four sons and is overseen by his widow Savitri, India’s richest woman. The brothers occasionally have small cross-holdings in each others’ companies, but they are run separately and even occasionally compete against each other.(By William Clowes)",JSW Steel Ltd.’s $74 million deal to buy Minas de Revuboe ran into trouble when the administration of then-President Filipe Jacinto Nyusi revoked the mining lease. MdR responded by initiating legal and arbitration proceedings to regain the license.
14,India to defend import curbs on copper in legal tussle with trade associations,2025-05-13,"The Indian government is expected to argue that there is sufficient domestic supply of copper cathodes, and an adequate number of suppliers, as it prepares a response to a case on import curbs filed by two trade associations, two sources said.India, the world’s second-largest importer of refined copper, relies on imports to address shortfalls and meet robust demand in sectors such as energy, defence, automotives and infrastructure. Copper is among the 30 critical minerals identified by India in 2023.But the government imposed quality control measures on copper cathode imports in December, requiring all suppliers, foreign and domestic, to obtain certification from Indian authorities.The Bombay Metal Exchange and the Bombay Non-Ferrous Metals Association have submitted a petition, seen byReuters, to the Bombay High Court claiming that the government action could lead to a monopoly dominated by three domestic suppliers, without naming them.“Where are the shortages?” one of the sources, familiar with government thinking, toldReuters. “The only evidence they (trade bodies) have is that in December and January imports had reduced, which is old data.”The source said that companies had imported large quantities of copper in October and November, which then led to lower imports in the following months.“We will fight the case, their case does not hold,” the source said, declining to be identified as the government has not filed a formal response yet. Another source confirmed the government would defend its position.The trade associations and India’s mines ministry did not immediately respond to requests for comment.Demand surgeCopper demand is expected to double by 2030 as India aims to meet the needs of its industries and the energy transition. Domestic companies in the copper industry include Hindalco Industries, Vedanta, Adani and the state-owned Hindustan Copper.India’s refined copper production is estimated at around 555,000 tons per year, and New Delhi imports around 500,000 tons of copper a year to meet the shortfall. Imports have surged since the 2018 closure ofVedanta’s domestic Sterlite copper smelter.But in December, the government said that theramp-up of Adani Enterprises’ smelterwould fulfil India’s domestic requirement and cut down imports. It is expected to become operational over the next four weeks.Adani kicks off $1.2 billion Indian copper smelterJapan accounts for about two-thirds of India’s refined copper imports, followed by Tanzania and Mozambique.There are currently 10 certified foreign copper suppliers, both sources said, seven of which are Japanese, and five more domestic certified suppliers.(By Neha Arora; Editing by Rachna Uppal)",India is the world’s second-largest importer of refined copper. Copper is among the 30 critical minerals identified by India in 2023. The government imposed quality control measures on copper cathode imports in December.
15,Ghana arrests three Indian nationals suspected of smuggling gold,2025-04-29,"Ghana has arrested three Indian nationals for allegedly smuggling gold out of the West African nation for the past decade.The three were arrested at their private residence in Kumasi, the second biggest city on a tip off, Ghana Gold Board said in a statement onX.An amount of 1.9 million cedis ($133,333), 4,500 rupees, 4.36 kilograms of gold and two counting machines were found on the suspects, whose ages are 42, 35 and 22, it said. A CCTV recorder and an Indian passport were also found in their possession, it said.Ghana is Africa’s top gold producer. The country’s gold exports rose more than 50% to $11.6 billion in 2024. Black-market trading of the metal is induced by small-scale mining activity, which represents about a third of output.(By Moses Mozart Dzawu)","The three were arrested at their private residence in Kumasi, the second biggest city on a tip off. An amount of 1.9 million cedis ($133,333), 4,500 rupees, 4.36 kilograms of gold and two counting machines were found on the suspects"
16,"India urging firms to acquire overseas iron ore, coking coal assets",2025-04-26,"India is encouraging companies to acquire iron ore, coking coal, and other key raw material assets overseas, Steel Secretary Sandeep Poundrik said on Saturday, as the country ramps up its steelmaking capacity to meet rising demand.“We are encouraging our companies to acquire assets abroad, right from iron ore to coking coal to even limestone and dolomite,” Poundrik said at an industry event in Mumbai. “Raw material securitization is the most important aspect of steelmaking.”India, the world’s second-largest producer of crude steel, aims to boost its overall steelmaking capacity to 300 million tons by 2030, up from about 200 million tons currently.To support this expansion, coking coal imports are projected to rise to 160 million tons by 2030 from around 58 million tons now, Poundrik had projected on Friday.Despite an uptick in steel output, India’s coking coal imports dipped 0.7% in the fiscal year ended in March due to lower shipments from Australia and the United States, said commodities consultancy BigMint.India relies on imports to meet 85% of its coking coal needs, with Australia supplying more than half of those shipments.In a bid to diversify supply, India has also been exploring partnerships with Mongolia. However, logistical challenges remain in sourcing material from the landlocked country, Poundrik noted.India’s state-run miner NMDC is exploring coking coal assets in Indonesia and Australia, chairman Amitava Mukherjeesaid on Thursday.(By Neha Arora and Sethuraman NR; Editing by William Mallard)","India is encouraging companies to acquire iron ore, coking coal, and other key raw material assets overseas. India aims to boost its overall steelmaking capacity to 300 million tons by 2030, up from about 200 million tons currently."
17,"India’s NMDC exploring coking coal assets in Indonesia, Australia",2025-04-24,"Indian miner NMDC is exploring coking coal assets, key ingredient used for making iron ore and steel, in Indonesia and Australia, chairman Amitava Mukherjee said on Thursday.India, the world’s second-largest producer of crude steel, meets 85% of its coking coal requirements through imports. Australia accounts for more than half of the country’s coking coal imports.The company is looking at this as a business opportunity, Mukherjee said. “They (explorations) are in different stages of negotiations.” He did not disclose the details of these talks due to confidentiality.State-owned NMDC is India’s largest iron ore miner with four operational mines across the country.The country’s top steelmaker JSW Steel’s CEO Jayant Acharya had toldReutersearlier in the day that the company sources coking coal from Australia, the United States and Mozambique. State-owned SAIL also procures coking coal from countries such as Mongolia.Coking coal has traditionally been a volatile commodity because of its dominance in exports and the variability of weather, according to commodity consultancy firm BigMint.In 2023, erratic weather conditions hit coking coal supplies from Australia.(By Neha Arora and Manvi Pant; Editing by Mrigank Dhaniwala and Shilpi Majumdar)","India, the world’s second-largest producer of crude steel, meets 85% of its coking coal requirements through imports. The company is looking at this as a business opportunity, chairman Amitava Mukherjee said."
18,ReElement Technologies accelerates rare earth production at Indiana plant,2025-04-22,"Amid escalating US-China trade tensions, American rare earth refiner ReElement Technologies says it will expand the operational equipment at its Noblesville plant in Indiana to meet surging demand for domestically sourced rare earth oxides.Earlier this month, the company — a subsidiary of American Resources Corporation (NASDAQ: AREC) — completed a round of capital fundraising to support the procurement and commissioning of new commercial-scale equipment for the Noblesville facility to expand its production capabilities, in light of China’s recent export restrictions on rare earth elements.China dominates the global rare earth sector, accounting for over 70% of mine production and nearly all of the world’s processing capacity. In response to the recent US tariffs, China began to weaponize this dominance by imposingexport restrictionson seven rare earth minerals.The US, meanwhile, has limited production and had been heavily reliant on China.Expansion projectsOn Monday, ReElement announced that it has completed the second phase of plant expansion to double its production of finished rare earth oxides, and is now undergoing a Phase 3 expansion that could triple the production over Phase 2. The company did not disclose the production capacity levels, only that the expansion is scheduled for May/June.The latest equipment expansion highlights the modular and scalable characteristics of ReElement’s refining technology, allowing for swift and flexible growth to meet the surging demand for ultra-pure, domestically produced rare earth oxides, the company stated in a news release.This added refining capacity will significantly increase the facility’s daily refining volumes of key rare earth elements, including neodymium, praseodymium, dysprosium and terbium, ReElement said.ReElement’s modular, multi-feedstock refining platform — born from decades of research at Purdue University — is currently the only US-based scalable solution capable of economically separating and purifying rare earth elements.“By investing in and leveraging our innovative refining technology, our Noblesville facility is able to rapidly scale to meet the unprecedented customer demand we are seeing from our growing customer base,”  ReElement Technologies COO Jeff Peterson said in a news release.“Our Noblesville facility, located in an urban setting, demonstrates not only the scalability of our technology but also our commitment to environmentally responsible production of both heavy and light rare earth oxides,” CEO Mark Jensen said.While the Noblesville plant, covering a space of 700 square metres, represents ReElement’s flagship facility, the company has plans to build a larger centralized industrial space (over 50,000 sq. m) in Marion, Indiana, with a targeted initial capacity to produce 1,000 tonnes per year of ultra-pure (>99.5%) rare earth oxides. The Marion campus was once home to American technology giants such as Thompson Electronics, Farnsworth Radio and RCA.“While the [Noblesville] site was not originally intended to be commercial, growing customer demand, especially following recent global trade shifts, has made it an essential part of our operations as we continue developing our larger Marion facility,” Jensen added.","American rare earth refiner ReElement Technologies says it will expand the operational equipment at its Noblesville plant. China dominates the global rare earth sector, accounting for over 70% of mine production and nearly all of the world’s processing capacity. In response to the recent US tariffs"
19,"India’s polished diamond exports hit two-decade low, industry group says",2025-04-14,"India’s exports of cut and polished diamonds plummeted to their lowest level in nearly two decades in the 2024/25 fiscal year, which ended in March, on sluggish demand from the United States and China, a leading trade body said on Monday.India is the world’s largest cutting and polishing hub, handling nine out of every 10 diamonds processed globally. But it is sensitive to economic uncertainty – particularly in the US, its biggest market.Cut and polished diamond exports, which usually account for nearly half of overall gem and jewellery shipments, fell 16.8% to $13.3 billion year-on-year, the Gems and Jewellery Export Promotion Council (GJEPC) said in a statement.The slump dragged down overall gem and jewellery exports by 11.7% to $28.5 billion – a four-year low – from $32.28 billion the previous year.The lower demand for polished diamonds also prompted Indian processors to reduce imports of rough diamonds by 24.3% to $10.8 billion, the trade body said.Gems and jewellery exports rose by 1% year-on-year in March, however, to $2.56 billion, the GJEPC said, as exporters ramped up shipmentsahead of announced US tariffs.US President Donald Trump initially planned to place a 27% tariff on imported Indian goods from April 9 as part of duties targeting dozens of countries, but then declared a 90-day pause on the measure.“US buyers were loading up in March before the tariffs kicked in. Indian exporters were also rushing to ship out US orders first, so they wouldn’t get hit with those extra costs,” said Shaunak Parikh, vice-chairman of GJEPC.India’s gems and jewellery exports are unlikely to recover this year, one major Mumbai-based exporter toldReuters, as the US tariffs have roiled global markets and shaken buyer confidence.(By Rajendra Jadhav; Editing by Joe Bavier)","Cut and polished diamond exports fell 16.8% to $13.3 billion year-on-year. India is the world’s largest cutting and polishing hub, handling nine out of every 10 diamonds processed globally."
20,Indian delegation to visit Chile seeking stake in SQM’s lithium projects,2025-04-04,"Indian officials will visit Chile next week to discuss plans for four state companies to take a stake in two lithium projects of the world’s No. 2 producer of the metal, SQM, a source said.The world’s fastest-growing major economy has ramped up efforts to secure a steady supply of lithium as demand rises for the metal used in electric vehicle batteries, key to emissions reduction efforts in the world’s third-largest emitter.Government-backed Khanij Bidesh India Ltd (KABIL), Coal India, Oil India and ONGC Videsh are in talks with SQM for stakes of 20% in its Mount Holland and Andover projects in Australia,Reutersreported last week.The Indian delegation will hold discussions with top SQM executives when it travels to Chile next week for a global copper conference, the source said, speaking on condition of anonymity as the talks were not public.Executives from state-run Hindustan Copper and leading private copper firms Hindalco Industries and JSW are also expected to visit Chile, the source said.Hindustan Copper toldReutersit will send a few executives to Chile to attend the copper conference and hold other meetings.The mines ministry, Hindalco, and JSW did not respond to emails fromReutersto seek comments.Codelco strikes copper deal with Adani amid tariff threatIndia and Chile held talks this week to renew a preliminary pact on geology and mineral resources.This week Chile’s state-owned Codelco, the world’s largest copper producer, said it would supply copper concentrates to the $1.2 billion smelter of India’s Adani Group, which is the world’s largest single-location plant of its kind.Codelco has also signed a separate preliminary pact with Hindustan Copper to collaborate on exploring and processing minerals.India’s copper imports have surged since the 2018 closure of Vedanta’s Sterlite copper smelter, which produced around 400,000 metric tons of the metal.It has recently stepped efforts to strike overseas deals for access to critical minerals in resource-rich countries such as Argentina, Australia, and Chile.New Delhi is also exploring an initial agreement with cobalt-rich Congo.(By Neha Arora; Editing by Mayank Bhardwaj and Clarence Fernandez)",Indian officials will visit Chile next week to discuss plans for four state companies to take a stake in two lithium projects of SQM. The world’s fastest-growing major economy has ramped up efforts to secure a steady supply of lithium as demand rises.
21,"US tariffs set to cripple India’s diamond industry, hurting jobs, exports",2025-04-04,"A wave of anxiety has gripped India’s diamond polishing hub of Surat, as hefty US tariffs threaten to undermine the country’s gem and jewellery exports, putting at risk the livelihoods of thousands of workers.The United States, which takes more than 30% of the South Asian nation’s gem and jewellery exports, set a 27% reciprocal tariff on it on Thursday, at a time when demand is softening in other key markets such as China, the Middle East, and Europe.“Tariffs will hit hard the demand for diamonds in the United States and job losses look inevitable, at least in the short term,” said Dinesh Navadiya, chairman of the Surat-based Indian Diamond Institute.Surat, the second-largest city in Gujarat, the western home state of Prime Minister Narendra Modi, processes and polishes more than 80% of the world’s rough diamonds, and India accounts for nine in every 10 diamonds processed globally.Business has ground to a halt in its teeming diamond market, where more than 10,000 traders and brokers gather each day, as the industry tries to figure out how matters will evolve in the coming months.Conditions are worse than during the 2008 financial crisis, when the industry was plagued by fears of a prolonged recession, said Mansukh Mangukiya, a diamond trader for five decades.A slowdown in the industry will hit all manufacturers, but smaller players will suffer most, said Sevanti Shah, chairman of Venus Jewels, adding, “Many smaller manufacturers will have no choice but to shut down.”The United States accounted for nearly $10 billion, or 30.4%, of India’s annual gems and jewellery exports, totalling $32 billion in the fiscal year 2023/24.Third largest export to USGems and jewellery are India’s third largest export to the United States, after engineering and electronic goods, and employ millions of workers, including artisans.Poorer business prospects also raise questions about the future of the Surat Diamond Bourse, inaugurated by Modi in 2023 to create thousands of new jobs and serve as a trade hub.Built over 6.6 million square feet, it was touted as the world’s largest office building, surpassing the Pentagon.The industry will seek alternative markets to compensate for the loss of US demand, but no other country will be able to replace the US market, diamond dealers said.The sudden decline in US demand would require short-term production adjustments within the industry and could lead to reduced rough diamond imports, said Shaunak Parikh, vice chairman of the Gem and Jewellery Export Promotion Council.Exporters are making last-minute efforts to ship as much as possible to the United States before its new tariffs take effect, Parikh said, while orders that cannot be delivered earlier may be cancelled or put on hold.The tariffs would also drive up US prices, crimping demand, said Vipul Shah, managing director of Asian Star, a leading diamond exporter.An uncertain future lies ahead for Chetan Navadiya, a diamond manufacturer turned job-work contractor.“I lost my business due to the market slowdown,” Navadiya said. “I took up job work to survive, but even those contracts may not come by now, because of US tariffs.”(By Rajendra Jadhav and Sumit Khanna; Editing by Mayank Bhardwaj and Clarence Fernandez)","Surat processes and polishes more than 80% of the world’s rough diamonds. India accounts for nine in every 10 diamonds processed globally. The United States accounted for nearly $10 billion, or 30.4%, of India's annual gems and jewellery exports."
22,India discontinues parts of gold deposit scheme amid rising prices,2025-03-25,"India has discontinued parts of a scheme that encouraged households and institutions to deposit idle gold in exchange for interest payments.The gold monetization scheme, introduced in 2015, included gold deposits for 1-to-3 years, 5-to-7 years and 12-to-15 years.The 5-to-7 and 12-to-15 year deposits have been discontinued, the finance ministry said late on Tuesday, citing evolving market conditions and performance of the scheme.Banks can continue to offer short-term gold deposits based on commercial viability, the ministry said.The move is likely to reduce the government’s future obligations and minimize risks related to gold prices. While banks paid the interest on the short-term deposits, the government paid it for the medium- and long-term ones.Prices of gold, which is seen as a hedge against geopolitical and economic uncertainties, haverisen more than 15% this year, driven by escalating geopolitical tensions and uncertainties over US tariff policy.The existing gold deposits will continue until their maturity, India’s finance ministry said.The Reserve Bank of India has amended its master directions on the scheme to account for the changes.(By Aleef Jahan)","India has discontinued parts of a scheme that encouraged households and institutions to deposit idle gold in exchange for interest payments. The move is likely to reduce the government’s future obligations and minimize risks related to gold prices. While banks paid the interest on the short-term deposits, the government"
23,India’s Hindalco to invest $5.2 billion across metals business,2025-03-20,"Hindalco Industries, one of India’s largest aluminum and copper producers, said on Thursday it plans to invest 450 billion rupees ($5.21 billion) in its aluminum, copper, and specialty alumina businesses.The investment will be to deliver both upstream and high-precision engineered products, Hindalco said in a filing.The company is on track to surpass 1 million ton of refined copper production, Kumar Mangalam Birla, chairman of Aditya Birla Group, said in an address during a company event.“The journey marks a transformative path from a metals supplier to an engineered solutions partner,” Birla said.Hindalco is working on automotive, electric vehicles, packaging, and also collaborating with battery manufacturers, he said.($1 = 86.3350 Indian rupees)(By Sethuraman NR; Editing by Savio D’Souza)","Hindalco Industries plans to invest 450 billion rupees ($5.21 billion) in its aluminum, copper, and specialty alumina businesses. The investment will be to deliver both upstream and high-precision engineered products."
24,Rusal to buy 50% stake in Indian alumina refinery owner in stages,2025-03-14,"Credit:Pioneer Aluminium IndustriesRussian aluminum giant Rusal on Friday said it had agreed to buy a 26% stake in an Indian alumina refinery owner for $243.75 million and to acquire up to 50% in stages, a move that should reduce its reliance on third-party raw materials.Rusal, the world’s largest aluminum producer outside China, has not been directly targeted by Western sanctions against Moscow over the conflict in Ukraine, but lost about 40% of its alumina supplies after Australiahalted exports to Russiaand Rusal shut down its alumina refinery in Ukraine.To compensate for falling alumina volumes, Rusal increased its purchases of raw materials from China, India, Kazakhstan, and acquired a 30% stake in a Chinese producer in October 2023, reducing the deficit.As of November 2024, Rusal was still buying more than a third of the alumina it needs for aluminum production on global markets at exchange prices, which it has said “puts serious pressure on production margins”.Rusal agreed to acquire, through a wholly-owned subsidiary, up to 50% of Pioneer Aluminium Industries Limited’s share capital in three stages, it said in a statement.During the first stage, Rusal said it would acquire 26% of Pioneer’s shares for $243.75 million plus the amount of appropriate contractual adjustments for net working capital and debt.“(Pioneer) owns and operates a metallurgical grade alumina refinery located in the state of Andhra Pradesh, India, with nameplate production capacity of 1.5 million tonnes annually,” Rusal said.Rusal and the vendors, Pioneer group of companies and KCap group of companies, plan to supply bauxite and receive alumina from Pioneer pro rata to their respective shareholdings, Rusal said.Hong Kong-listed Rusal on Friday reported anear three-fold jumpin its annual earnings, reflecting lower production costs and higher prices for aluminum.(By Anastasia Lyrchikova and Alexander Marrow; Editing by Elaine Hardcastle)","Rusal, the world’s largest aluminum producer outside China, lost about 40% of its alumina supplies after Australiahalted exports to Russia. Rusal increased its purchases of raw materials from China, India, Kazakhstan, and acquired a 30% stake in a Chinese producer in"
25,India to launch auction for mineral exploration licenses for 13 blocks,2025-03-12,"India will launch an auction on Thursday for licenses to explore critical mineral mining in the country, the government said on Wednesday.The Ministry of Mines will auction 13 exploration blocks, including those of diamond and copper.In 2023, India identified over 20 minerals, including lithium, as “critical” for its energy transition efforts and to meet the growing demand from industries and the infrastructure sector. The move was also aimed at reducing its dependence on imports.New Delhi in January approved 163 billion rupees ($1.87 billion) to develop the critical minerals sector.($1 = 87.1900 Indian rupees)(By Nandan Mandayam; Editing by Sonia Cheema and Leroy Leo)","The Ministry of Mines will auction 13 exploration blocks, including those of diamond and copper. New Delhi in January approved 163 billion rupees ($1.87 billion) to develop the critical minerals sector."
26,"India’s small exporters seek import duty cuts to counter US steel, aluminum tariffs",2025-03-05,"India’s small engineering goods exporters have urged the government to cut import tariffs on some US goods to try and achieve more favourable trade terms as President Donald Trump prepares to implement new steel and aluminum duties, the head of an industry body said.The 25% US tariffs on steel and aluminum imports, effective March 12, have raised Indian exporters’ concerns about declining orders and rising costs.“Of India’s $20 billion annual engineering goods exports, nearly $7.5 billion worth of shipments could be affected,” said Pankaj Chadha, chairman of the Engineering Export Promotion Council, which represents more than 10,000 small exporters.The EEPC and other industry chambers have urged the government to cut tariffs on select US goods with low inbound shipments, Chadha toldReuterson Wednesday.They expect that lowering such tariffs could prompt the Trump administration to offer favourable terms and move forward with a proposed bilateral trade deal. Trump has labelled India a high-tariff country and warned of “reciprocal tariffs” from early April.India’s trade minister Piyush Goyal is in the US for trade talks, aiming to negotiate potential tariff cuts as part of the proposed trade deal and to assess the impact of Trump’s planned reciprocal tariffs.India could, for instance, cut import duty on US steel scrap from 7.5% to nearly zero, and reduce tariffs on nuts, castings and forgings while offering concessions on selected agricultural and manufacturing items, Chadha said.Exporters also fear that India’s planned safeguard duty of up to 14% on steel imports, aimed at protecting local steel manufacturers from cheaper Chinese imports, will drive up domestic prices and squeeze their margins.India’s exports of engineering goods to the US jumped 18% year-on-year in January to $1.62 billion, outpacing the sector’s overall growth of 7.44% ahead of the tariffs, EEPC data showed.From April 2024 to January 2025, the first 10 months of the fiscal year, engineering exports to the US rose by an annual 9% to $15.6 billion, driven by an increase in shipments of aircraft parts, electrical machinery, automobiles, industrial machinery and medical instruments.“The engineering industry faces major challenges, and the latest US tariffs add pressure. Continued government support in export credit and technology is crucial for competitiveness,” Chadha said.India’s global engineering exports, which account for a quarter of total merchandise exports, rose to $9.42 billion in January from $8.77 billion a year earlier, though were lower than December’s $10.84 billion. Cumulative exports for April-January rose 9.82% year-on-year to $96.75 billion, EEPC data showed.(By Manoj Kumar; Editing by Kirsten Donovan)","US tariffs on steel and aluminum imports, effective March 12, have raised Indian exporters’ concerns about declining orders and rising costs. Of India’s $20 billion annual engineering goods exports, nearly $7.5 billion worth of shipments could be affected. Trump has labelled India"
